"","track_name","artist.s._name","artist_count","released_year","released_month","released_day","in_spotify_playlists","in_spotify_charts","streams","in_apple_playlists","in_apple_charts","in_deezer_playlists","in_deezer_charts","in_shazam_charts","bpm","key","mode","danceability_.","valence_.","energy_.","acousticness_.","instrumentalness_.","liveness_.","speechiness_.","cover_url"
"391","Boy With Luv (feat. Halsey)","Halsey, BTS",2,2019,4,12,4260,0,"1065580332",113,92,"259",0,"1",120,"B","Minor",65,80,86,9,0,19,10,"Not Found"
"518","I Heard You're Married (feat. Lil Wayne)","The Weeknd, Lil Wayne",2,2022,1,7,1178,0,"91656026",9,10,"9",0,"0",110,"D","Major",75,85,84,10,0,31,19,"https://i.scdn.co/image/ab67616d0000b2734ab2520c2c77a1d66b9ee21d"
"631","Mr. Brightside","The Killers",1,2003,9,23,51979,15,"1806617704",306,99,"5,063",2,"120",148,"C#","Major",35,24,93,0,0,10,8,"https://i.scdn.co/image/ab67616d0000b273ccdddd46119a4ff53eaf1f5d"
"440","Agudo Mï¿½ï¿½gi","Styrx, utku INC, Thezth",3,1930,1,1,323,0,"90598517",4,0,"14",0,"0",130,"F#","Minor",65,49,80,22,4,7,5,"Not Found"
"427","Limbo","Freddie Dredd",1,2022,8,11,688,0,"199386237",14,1,"17",0,"2",75,"B","Minor",80,46,62,3,6,11,46,"https://i.scdn.co/image/ab67616d0000b27369b381d574b329409bd806e6"
"226","Bite Me","ENHYPEN",1,2023,5,22,349,69,"76767396",8,96,"5",0,"56",105,"C#","Major",80,69,78,28,0,11,14,"https://i.scdn.co/image/ab67616d0000b2731d03b5e88cee6870778a4d27"
"707","Yo Voy (feat. Daddy Yankee)","Zion & Lennox",1,2004,5,4,2954,2,"527033089",18,82,"0",0,"5",95,"A#","Major",81,56,70,4,0,5,24,"https://i.scdn.co/image/ab67616d0000b27387d3146807ad53b05a7daaac"
"790","El Apagï¿½","Bad Bunny",1,2022,5,6,1209,0,"212351890",9,7,"14",0,"1",118,"G#","Major",63,60,70,5,0,9,31,"Not Found"
"632","Blessed-Cursed","ENHYPEN",1,2022,1,10,246,0,"77337771",2,12,"10",0,"0",127,"E","Minor",60,40,89,9,0,60,6,"https://i.scdn.co/image/ab67616d0000b2731c1ea5bfa5680ac877acdd55"
"511","Infinity","Jaymes Young",1,2017,6,23,4375,0,"888046992",24,0,"396",0,"0",122,"B","Minor",67,50,67,15,0,30,4,"https://i.scdn.co/image/ab67616d0000b273a9897f65d1ead1be10a51e3f"
"462","Wonderful Christmastime - Edited Version / Remastered 2011","Paul McCartney",1,1979,11,16,1685,0,"403939487",1,0,"29",0,"0",95,"B","Major",75,74,58,36,0,9,3,"https://i.scdn.co/image/ab67616d0000b2733cef016d13d82873d45af84a"
"837","Little Freak","Harry Styles",1,2022,5,20,2302,0,"273194684",20,3,"39",0,"0",142,"D#","Major",56,40,54,72,0,10,4,"https://i.scdn.co/image/ab67616d0000b2732e8ed79e177ff6011076f5f0"
"883","Bad Decisions (with BTS & Snoop Dogg)","Snoop Dogg, BTS, Benny Blanco",3,2022,8,5,1456,0,"219196651",53,2,"33",0,"0",120,"","Major",77,94,87,2,0,23,12,"https://i.scdn.co/image/ab67616d0000b2738c47a33a55c6d23cc9d2cf3f"
"224","Snow On The Beach (feat. More Lana Del Rey)","Lana Del Rey, Taylor Swift",2,2023,5,26,359,2,"60350538",1,0,"9",0,"0",110,"F#","Minor",66,32,40,81,0,11,3,"Not Found"
"288","Set Me Free Pt.2","Jimin",1,2023,3,17,340,13,"168448603",4,71,"16",1,"9",132,"","Minor",59,56,82,12,0,12,6,"https://i.scdn.co/image/ab67616d0000b2734f4ec2c2a865569bd4a067a4"
"745","Right On","Lil Baby",1,2022,4,8,1116,0,"101780047",31,9,"15",0,"1",166,"D","Major",70,22,61,2,0,10,34,"https://i.scdn.co/image/ab67616d0000b2736c6827c3fb94b95e5ff4a4aa"
"696","Adore You","Harry Styles",1,2019,12,6,13454,1,"1439191367",246,71,"519",2,"5",99,"G#","Major",68,57,77,2,0,10,5,"https://i.scdn.co/image/ab67616d0000b27377fdcfda6535601aff081b6a"
"922","Nxde","(G)I-DLE",1,2022,10,17,430,6,"170709584",14,116,"9",0,"11",136,"E","Minor",73,65,91,4,0,48,18,"https://i.scdn.co/image/ab67616d0000b273ac815bdd584468a7aa0216e1"
"412","MIDDLE OF THE NIGHT","Elley Duhï¿",1,2020,1,10,4057,8,"872137015",78,21,"240",1,"52",186,"E","Minor",41,9,61,2,0,12,5,"Not Found"
"823","San Lucas","Kevin Kaarl",1,2019,11,7,407,1,"244891912",5,0,"5",0,"0",92,"G","Major",58,27,36,86,0,9,3,"https://i.scdn.co/image/ab67616d0000b2733e4b5368bf7ad20f19cc4812"
"756","IDGAF (with blackbear)","Blackbear, BoyWithUke",2,2022,3,18,625,0,"197643795",10,2,"13",0,"1",98,"F","Major",78,83,75,41,0,27,8,"Not Found"
"359","In The End","Linkin Park",1,2000,10,24,25065,6,"1624165576",63,0,"6,808",2,"0",105,"D#","Minor",55,40,90,1,0,32,6,"https://i.scdn.co/image/ab67616d0000b273e2f039481babe23658fc719a"
"135","505","Arctic Monkeys",1,2007,4,20,13985,25,"1217120710",30,80,"588",1,"1",140,"","Major",52,20,85,0,0,7,5,"https://i.scdn.co/image/ab67616d0000b2730c8ac83035e9588e8ad34b90"
"274","Di Que Si","Grupo Marca Registrada, Grupo Frontera",2,2023,2,3,356,10,"147290338",4,64,"4",2,"37",182,"A","Major",57,80,59,8,0,6,5,"https://i.scdn.co/image/ab67616d0000b273aab35973ece2916fb24244fe"
"453","Holly Jolly Christmas","Michael Bublï¿",1,2011,10,14,7655,0,"476244795",5,0,"291",0,"0",151,"G","Major",65,70,47,87,0,9,4,"Not Found"
"353","Hype Boy","NewJeans",1,2022,8,1,892,17,"363472647",20,119,"12",2,"7",100,"E","Minor",59,78,94,27,0,29,23,"https://i.scdn.co/image/ab67616d0000b2739d28fd01859073a3ae6ea209"
"97","Say Yes To Heaven","Lana Del Rey",1,2023,3,17,2000,46,"127567540",49,105,"63",1,"0",100,"F#","Minor",49,17,35,71,9,11,3,"https://i.scdn.co/image/ab67616d0000b273aa27708d07f49c82ff0d0dae"
"91","Fast Car","Luke Combs",1,2023,3,24,1446,12,"157058870",57,97,"35",0,"429",98,"G#","Major",71,67,60,19,0,12,3,"https://i.scdn.co/image/ab67616d0000b273ca650d3a95022e0490434ba1"
"646","Esqueï¿½ï¿½a-Me Se For C","Marï¿½ï¿½lia Mendonï¿½ï¿½a, Maiara &",2,2021,10,14,580,0,"258316038",24,92,"93",0,"0",122,"F#","Minor",80,62,69,28,0,13,7,"Not Found"
"637","Leave Before You Love Me (with Jonas Brothers)","Marshmello, Jonas Brothers",2,2021,4,28,4893,4,"651732901",143,24,"110",0,"70",120,"G","Major",72,67,72,0,0,13,4,"https://i.scdn.co/image/ab67616d0000b273ae40468931087f78919b86ce"
